mode,game,total_BB,total_RB,total_grape,total_samai,max_samai,max_game,min_samai,min_game
4,2000,3,4,326,-1414,68,235,-1963,1812
4,2000,9,6,363,901,1027,1807,-103,57
4,2000,6,8,314,-77,538,953,-707,504
4,2000,13,6,299,1715,1935,1881,-119,72
4,2000,9,5,295,293,749,1430,-254,185
4,2000,10,0,318,278,556,1797,-129,1368
4,2000,10,9,320,1237,1518,1786,-778,773
4,2000,10,5,316,859,1529,1133,-421,296
4,2000,8,7,325,468,1071,1180,-142,211
4,2000,4,6,341,-729,4,2,-1119,1562
4,2000,2,8,316,-1398,0,0,-1398,2014
4,2000,8,5,298,39,337,1259,-522,629
4,2000,5,5,327,-725,959,535,-736,2003
4,2000,7,3,286,-543,552,1270,-545,2007
4,2000,6,6,310,-362,662,175,-444,1444
4,2000,5,6,325,-597,593,437,-601,2011
4,2000,5,5,312,-846,73,33,-1333,1906
4,2000,12,2,283,1000,1042,1997,-872,805
4,2000,11,8,341,1561,1663,1932,-286,950
4,2000,3,12,346,-407,474,221,-568,1756
4,2000,5,6,328,-475,220,68,-794,1722
4,2000,7,6,317,-33,267,1645,-702,1090
4,2000,9,8,309,773,940,1895,-287,1614
4,2000,7,7,301,2,335,1693,-858,1204
4,2000,9,11,309,1088,1156,1990,-58,34
4,2000,5,5,296,-895,0,0,-895,2011
4,2000,13,6,309,1835,1879,2003,-118,73
4,2000,10,2,320,492,1139,942,-244,842
4,2000,7,9,303,167,233,1971,-1006,1025
4,2000,7,7,317,87,194,88,-1016,1511
4,2000,8,4,319,116,702,1589,-570,807
4,2000,7,6,338,72,686,1173,-6,2
4,2000,7,7,335,146,273,1842,-320,1397
4,2000,7,11,275,128,954,280,-164,120
4,2000,11,5,326,1144,1771,949,-106,60
4,2000,1,6,346,-1691,0,0,-2074,1683
4,2000,2,8,354,-1117,54,63,-1411,1651
4,2000,6,6,295,-519,0,0,-695,785
4,2000,10,9,347,1390,1600,1875,-370,1372
4,2000,6,7,327,-175,396,1534,-506,616
4,2000,7,7,292,-48,325,630,-465,1729
4,2000,12,5,338,1539,1556,2010,-361,355
4,2000,7,7,323,155,679,1542,-469,1112
4,2000,4,12,341,-189,357,554,-589,1454
4,2000,9,6,305,449,813,1760,-110,77
4,2000,5,0,319,-1227,119,387,-1227,2005
4,2000,7,11,328,593,698,1845,-1195,1163
4,2000,10,6,335,1032,1354,473,-9,5
4,2000,6,10,301,-15,621,1156,-327,564
4,2000,9,8,356,1009,1249,1067,-713,888
4,2000,8,11,336,921,1434,1630,-206,351
4,2000,2,5,331,-1539,0,0,-1572,1802
4,2000,7,9,336,423,494,1918,-554,1432
4,2000,7,6,332,157,435,1786,-230,1074
4,2000,8,6,322,355,536,583,-189,261
4,2000,6,7,344,-64,501,522,-90,299
4,2000,9,7,327,755,1113,1711,-57,31
4,2000,7,5,357,27,945,361,-28,1717
4,2000,8,10,319,743,764,1916,-995,1009
4,2000,7,2,344,-267,299,346,-647,1792
4,2000,6,9,316,28,671,40,-725,1687
4,2000,6,9,332,114,664,1229,-583,745
4,2000,10,8,299,1011,1744,1512,-441,296
4,2000,13,8,323,2045,2255,1603,-166,118
4,2000,10,5,347,1137,1170,2003,-44,33
4,2000,4,8,306,-875,0,0,-875,2014
4,2000,6,4,333,-489,498,704,-743,1641
4,2000,8,7,317,390,643,1854,-127,255
4,2000,11,4,331,1126,1313,1875,-396,621
4,2000,8,5,321,236,457,695,-865,1787
4,2000,9,5,336,610,929,1766,-217,376
4,2000,7,12,311,591,629,516,-264,1350
4,2000,4,3,312,-1228,17,353,-1252,1831
4,2000,8,6,309,183,441,1655,-387,323
4,2000,9,4,347,579,945,1700,-651,1122
4,2000,5,8,313,-532,728,368,-625,2007
4,2000,8,4,336,142,596,859,-295,762
4,2000,7,4,321,-255,63,1792,-1037,1414
4,2000,1,3,341,-2008,82,208,-2008,2004
4,2000,10,6,356,1265,1324,1981,-201,233
4,2000,7,5,335,-54,481,993,-337,504
4,2000,6,5,317,-472,8,2,-650,1905
4,2000,8,8,306,393,946,1434,-419,570
4,2000,4,7,338,-713,37,616,-713,2012
4,2000,9,4,321,420,930,1078,-5,8
4,2000,3,3,340,-1409,26,217,-1677,1930
4,2000,6,11,336,307,1316,1214,-171,266
4,2000,7,6,350,266,738,1530,-685,629
4,2000,10,0,306,202,681,1678,-698,913
4,2000,8,7,323,496,614,648,-246,483
4,2000,11,5,323,1186,1381,1597,-93,79
4,2000,2,9,341,-1060,0,0,-1442,1522
4,2000,5,9,302,-363,403,1338,-633,368
4,2000,5,8,291,-628,573,396,-628,2019
4,2000,6,8,313,-80,839,787,-155,500
4,2000,9,9,313,811,1086,1151,-37,91
4,2000,5,5,335,-671,480,879,-841,1865
4,2000,11,3,343,1108,1198,1950,-884,872
4,2000,5,7,329,-454,0,0,-788,723
4,2000,10,5,308,751,832,1948,-583,646
4,2000,7,8,325,231,969,777,-357,204
4,2000,4,7,341,-732,699,286,-875,1893
4,2000,10,3,308,523,1130,1433,-460,553
4,2000,7,10,315,415,513,1208,-477,793
4,2000,7,9,310,300,1037,862,-83,62
4,2000,10,5,319,774,887,1884,-503,592
4,2000,5,8,318,-443,304,90,-743,1363
4,2000,5,8,321,-433,512,1087,-662,524
4,2000,3,7,321,-1080,0,0,-1346,1964
4,2000,6,5,335,-265,0,0,-668,1505
4,2000,5,6,328,-612,204,111,-1202,1468
4,2000,9,5,313,452,901,1266,-36,24
4,2000,6,6,303,-382,508,1042,-711,558
4,2000,8,9,314,606,834,1362,-415,880
4,2000,7,1,318,-548,938,230,-553,2008
4,2000,10,6,319,874,943,1974,-6,2
4,2000,5,12,316,69,276,1725,-583,796
4,2000,13,3,320,1487,1562,1962,-281,493
4,2000,4,3,308,-1355,0,0,-1363,2005
4,2000,8,6,320,351,823,1694,-602,1164
4,2000,10,3,342,791,1187,1719,-13,6
4,2000,6,8,336,-25,1241,940,-254,171
4,2000,10,6,315,823,1093,1831,-106,258
4,2000,10,7,330,1080,1655,1524,-22,17
4,2000,5,6,314,-663,226,1255,-667,2012
4,2000,2,9,344,-1136,93,348,-1136,2011
4,2000,7,6,329,79,859,995,-142,1962
4,2000,8,10,333,797,1062,1746,-47,22
4,2000,7,7,323,39,467,444,-407,1746
4,2000,8,7,315,366,1037,1497,-411,251
4,2000,5,7,322,-562,526,419,-562,2015
4,2000,8,5,330,264,389,1927,-944,1280
4,2000,2,4,329,-1742,100,12,-1742,2006
4,2000,6,4,295,-621,885,456,-630,2008
4,2000,8,4,336,133,390,993,-527,1807
4,2000,12,5,294,1309,1472,1930,-264,859
4,2000,5,11,306,-175,237,1714,-532,1055
4,2000,6,10,313,55,442,1687,-140,1363
4,2000,11,13,311,1887,1966,1983,-527,603
4,2000,4,2,310,-1366,170,114,-1396,1574
4,2000,10,9,336,1343,1375,1992,-228,222
4,2000,8,4,337,218,329,1716,-539,1659
4,2000,9,5,319,469,1385,768,-90,135
4,2000,9,7,298,478,967,654,-386,1613
4,2000,8,4,320,138,138,2018,-958,1602
4,2000,9,11,330,1286,1430,1900,-175,169
4,2000,6,12,312,306,470,1206,-601,909
4,2000,3,8,347,-848,165,51,-1016,1784
4,2000,5,5,344,-663,133,1166,-663,2011
4,2000,5,4,317,-781,309,5,-1113,1599
4,2000,5,7,314,-572,106,301,-590,1480
4,2000,8,2,332,-41,163,433,-1068,1614
4,2000,9,5,333,534,623,1958,-832,762
4,2000,6,7,320,-258,790,1256,-258,2016
4,2000,4,8,318,-727,388,171,-758,1679
4,2000,3,6,312,-1206,74,317,-1261,1954
4,2000,8,9,290,399,657,1747,-573,1332
4,2000,10,3,348,833,949,896,-21,8
4,2000,7,8,338,279,766,1446,-535,468
4,2000,7,3,317,-329,638,574,-651,2010
4,2000,8,8,311,345,1198,888,-52,31
4,2000,11,5,306,1063,1741,1223,-6,2
4,2000,5,8,325,-358,760,401,-358,2014
4,2000,10,8,324,1213,1368,1614,-104,73
4,2000,8,6,329,318,639,1529,-905,916
4,2000,7,4,322,-195,744,1279,-487,362
4,2000,6,7,323,-296,492,107,-638,1739
4,2000,5,10,299,-354,455,883,-473,1843
4,2000,7,3,327,-334,88,1172,-526,1934
4,2000,5,10,313,-259,179,1549,-367,871
4,2000,6,4,323,-597,13,5,-986,1018
4,2000,8,6,331,320,1452,790,-161,323
4,2000,10,9,298,1066,1451,1615,-199,200
4,2000,10,7,301,943,1002,1999,-399,1096
4,2000,10,8,283,858,1254,1808,-240,803
4,2000,10,7,308,1002,1252,1383,-616,565
4,2000,6,5,348,-225,805,130,-225,2012
4,2000,5,5,321,-749,179,522,-1185,1842
4,2000,8,9,327,703,911,1588,-390,293
4,2000,5,6,336,-588,401,14,-588,2012
4,2000,12,1,338,1105,1498,1739,-271,150
4,2000,3,4,323,-1404,0,0,-1859,1813
4,2000,8,8,338,644,740,1954,-514,1334
4,2000,5,7,295,-755,0,0,-1341,1984
4,2000,7,7,336,224,888,1181,-533,746
4,2000,7,7,301,-106,520,1167,-580,663
4,2000,7,10,330,478,970,1408,-545,389
4,2000,8,10,294,518,715,1913,-299,524
4,2000,10,6,322,992,1011,2001,-95,517
4,2000,4,7,315,-865,379,24,-1053,1765
4,2000,7,12,328,608,1234,876,-32,97
4,2000,9,12,299,1140,1694,1696,-471,633
4,2000,11,6,304,1148,1148,2018,-394,243
4,2000,9,3,290,75,460,1113,-735,466
4,2000,10,8,306,973,1102,1195,-121,101
4,2000,7,7,305,24,247,1880,-688,793
4,2000,6,8,308,-200,178,1379,-759,521
4,2000,9,12,325,1328,1665,1694,-133,85
4,2000,5,4,310,-990,284,18,-990,2011
4,2000,7,2,282,-673,441,524,-1060,1815
4,2100,6,5,368,-370,374,326,-431,1478
